"","AAPL","BAC","BLK","CME","CMG","CRM","DXC","EA","FB","GD","GOOG","GOOGL","GS","HPE","IBM","INTC","JPM","KO","MCD","MSFT","NDAQ","NFLX","NOC","NVDA","QCOM"
"GOOG",0.764247138490362,0.615397027485196,0.690451693175199,0.547121012328238,0.604791412229357,0.691477452759371,0.570131326964619,0.566633269091819,0.80823061417828,0.554646861231315,1,0.997619994234068,0.670211786012511,0.544587549353256,0.665394884252543,0.665291059560731,0.604422801440783,0.625077760126114,0.669130425584474,0.861005036315374,0.657218744133638,0.547154845839649,0.504484123039583,0.767377287612647,0.693275292029255
"GOOGL",0.764322682703538,0.615749300832605,0.696686372775713,0.558688084835018,0.603178349230099,0.693814217018612,0.570129294862926,0.570069595697684,0.803523077195304,0.556432719584985,0.997619994234068,1,0.671107566838513,0.546492649082792,0.668605509968303,0.675630691659874,0.605358851259821,0.626796462549337,0.669463085134145,0.866978042731271,0.662004250867929,0.544260017323364,0.50786364006031,0.773813421004028,0.70657056815828
"GS",0.634346998104469,0.884497001722406,0.742279633983028,0.661672212163647,0.509748313767242,0.522852232773551,0.756991963907826,0.365471932131947,0.571789133726862,0.778008520395375,0.670211786012511,0.671107566838513,1,0.710615645483373,0.75069997416463,0.617072423543284,0.88999743062572,0.721295520339705,0.73036481884063,0.656672961635056,0.647283185363699,0.334563941024965,0.539054805033421,0.570555983323128,0.644965296989077
"HPE",0.507723560126635,0.758018275010157,0.64507193288176,0.566670718274935,0.356013611497892,0.435361601363918,0.730234628131606,0.174475159146453,0.467802630210872,0.718582866091385,0.544587549353256,0.546492649082792,0.710615645483373,1,0.728672784703254,0.495876997765302,0.724773812568726,0.621660063189526,0.680233430638686,0.527671408044141,0.540338800681676,0.211715499865394,0.52922518495347,0.437411524207771,0.524929609223649
"IBM",0.585608784900727,0.764483267306102,0.692494525103682,0.588308758206714,0.40632037061363,0.508621298862742,0.674459513730705,0.392848292581931,0.510182577330762,0.758463611855308,0.665394884252543,0.668605509968303,0.75069997416463,0.728672784703254,1,0.655854748153182,0.750964166813087,0.772637823221952,0.673181545393885,0.650422687141532,0.66551076219215,0.31563819911109,0.649738706479105,0.563588478143428,0.600958290311436
"INTC",0.651658076160575,0.58212213974035,0.587038466947689,0.504063087524219,0.408675845877311,0.531640876790945,0.464795933437168,0.582225317320788,0.561561877725157,0.540783405646264,0.665291059560731,0.675630691659874,0.617072423543284,0.495876997765302,0.655854748153182,1,0.579547383977735,0.573721672064915,0.542153908702483,0.733859232022867,0.561076458205537,0.473982026300867,0.537016705283269,0.670338704332063,0.669141970221186
"JPM",0.548461927426338,0.952212242132043,0.731309034885966,0.690731535456062,0.422981979124589,0.464509081261009,0.735959643084343,0.271547512900585,0.487092858657995,0.818463992967752,0.604422801440783,0.605358851259821,0.88999743062572,0.724773812568726,0.750964166813087,0.579547383977735,1,0.746756878207139,0.697028659554567,0.596866849141181,0.620416110049943,0.214846826467993,0.56943550627094,0.469448145876108,0.548291404872301
"KO",0.573763567213567,0.738460581940821,0.709764893782968,0.636715518903902,0.34195089911207,0.45507190332964,0.529412149452097,0.388620923207988,0.443868349047588,0.808070747173256,0.625077760126114,0.626796462549337,0.721295520339705,0.621660063189526,0.772637823221952,0.573721672064915,0.746756878207139,1,0.618996700556047,0.59997317337943,0.728913402105301,0.223782967918026,0.673639475498091,0.48428663421114,0.523418111250758
"MCD",0.623686338351022,0.687623290460863,0.741724851908017,0.723694364872427,0.69555551180623,0.595568532446807,0.74630973414848,0.312620190708166,0.611991411946088,0.674842974117367,0.669130425584474,0.669463085134145,0.73036481884063,0.680233430638686,0.673181545393885,0.542153908702483,0.697028659554567,0.618996700556047,1,0.671625544619357,0.67740119189913,0.323359137690751,0.509907378078367,0.642778522356048,0.590203521131831
"MSFT",0.851951848149794,0.602375163864009,0.728467790267136,0.5920218084737,0.588871089219175,0.753497694128584,0.516576648624135,0.648028341054651,0.776301954946131,0.525078667983002,0.861005036315374,0.866978042731271,0.656672961635056,0.527671408044141,0.650422687141532,0.733859232022867,0.596866849141181,0.59997317337943,0.671625544619357,1,0.730573773132815,0.611747918734219,0.528734585708713,0.854152164574505,0.758837867665455
"NDAQ",0.682831595874596,0.626429718083073,0.779516584817567,0.713212994774208,0.396391120459024,0.575138750452305,0.483832356680259,0.450768912713585,0.592984455758774,0.675366333437971,0.657218744133638,0.662004250867929,0.647283185363699,0.540338800681676,0.66551076219215,0.561076458205537,0.620416110049943,0.728913402105301,0.67740119189913,0.730573773132815,1,0.35492689139902,0.634216699837568,0.637059187875395,0.53993829506219
"NFLX",0.585628369247824,0.218718533422292,0.377627252412593,0.292496855796139,0.390851242276214,0.59280321749443,0.228769525135015,0.627294457676132,0.589225722884295,0.188384176206619,0.547154845839649,0.544260017323364,0.334563941024965,0.211715499865394,0.31563819911109,0.473982026300867,0.214846826467993,0.223782967918026,0.323359137690751,0.611747918734219,0.35492689139902,1,0.244250334236542,0.588342968771472,0.500832324451437
"NOC",0.492872531709764,0.571185141060017,0.608088039434038,0.541655804502427,0.229198793053562,0.39852141394996,0.395408552319408,0.366062424933189,0.378924983573574,0.720348255738462,0.504484123039583,0.50786364006031,0.539054805033421,0.52922518495347,0.649738706479105,0.537016705283269,0.56943550627094,0.673639475498091,0.509907378078367,0.528734585708713,0.634216699837568,0.244250334236542,1,0.422598878057959,0.447439171265225
"NVDA",0.794235131911086,0.489810596691707,0.659319565757885,0.514226366070521,0.63271620520781,0.672698031059694,0.493896599249352,0.600338273695498,0.714465194419856,0.42978540825063,0.767377287612647,0.773813421004028,0.570555983323128,0.437411524207771,0.563588478143428,0.670338704332063,0.469448145876108,0.48428663421114,0.642778522356048,0.854152164574505,0.637059187875395,0.588342968771472,0.422598878057959,1,0.729443272673714
"QCOM",0.724707088900469,0.557744881964891,0.605062281621838,0.490266931147295,0.529458936653206,0.556376093469823,0.526015759386597,0.582287905673672,0.608830797387842,0.507326195735763,0.693275292029255,0.70657056815828,0.644965296989077,0.524929609223649,0.600958290311436,0.669141970221186,0.548291404872301,0.523418111250758,0.590203521131831,0.758837867665455,0.53993829506219,0.500832324451437,0.447439171265225,0.729443272673714,1
